timestamp,symbol,price,direction,strategy,rsi,ema,volume,result,target_price,target_range
2025-08-24 10:43:03,BMT,0.07237,up,RSI_divergence_bull,41.91616766467064,0.07261931321545873,760888.0,-1,0.072159,"[np.float64(0.072581), np.float64(0.072793)]"
2025-08-24 10:43:17,WLFI,0.2485,down,CHoCH+volume,25.87412587412581,0.2635023300425517,48741845.0,-1,0.254179,"[np.float64(0.242821), np.float64(0.237143)]"
2025-08-24 10:43:29,VINE,0.06925,down,CHoCH+volume,35.00000000000041,0.06978147879163378,2732963.0,-1,0.069633,"[np.float64(0.068867), np.float64(0.068484)]"
2025-08-24 10:44:32,NMR,8.678,up,RSI_divergence_bull,37.373737373737555,8.729882763956127,3707.4,-1,8.654214,"[np.float64(8.701786), np.float64(8.725571)]"
2025-08-24 10:44:40,FUN,0.009528,up,CHoCH+volume,61.37931034482725,0.009500756026964017,5779878.0,-1,0.009512,"[np.float64(0.009544), np.float64(0.00956)]"
2025-08-24 11:31:50,BB,0.15274,up,CHoCH+volume,72.35421166306685,0.150259221955503,2487729.0,"AI ошибка: Unknown datetime string format, unable to parse: BB, at position 0",0.151624,"[np.float64(0.153856), np.float64(0.154973)]"
2025-08-24 11:32:43,PIPPIN,0.01608,down,CHoCH+volume,18.181818181817974,0.016422030513737876,45094060.0,"AI ошибка: Unknown datetime string format, unable to parse: PIPPIN, at position 0",0.016199,"[np.float64(0.015961), np.float64(0.015843)]"
2025-08-24 11:32:52,BAND,1.0981,up,CHoCH+volume,70.194003527337,1.0811416293914529,446937.0,"AI ошибка: Unknown datetime string format, unable to parse: BAND, at position 0",1.09065,"[np.float64(1.10555), np.float64(1.113)]"
2025-08-24 11:33:23,BB,0.15224,down,RSI_divergence_bear,68.64754098360646,0.15019255528883632,2942788.0,"AI ошибка: Unknown datetime string format, unable to parse: BB, at position 0",0.153356,"[np.float64(0.151124), np.float64(0.150007)]"
2025-08-24 12:14:41,PUMPBTC,0.04148,up,CHoCH+volume,53.12500000000003,0.041034808814360675,2337243.0,"AI ошибка: Unknown datetime string format, unable to parse: PUMPBTC, at position 0",0.04116,"[np.float64(0.0418), np.float64(0.04212)]"
